ANNEE;NOMENCLATURE;CLE;STATUT;REALISE TOTAL;FONCTION;FONCTION_PARENT;CODE_AXE_ANALYTIQUE_PROFONDEUR_1;LIBELLE_AXE_ANALYTIQUE_PROFONDEUR_1;CODE_AXE_ANALYTIQUE_PROFONDEUR_2;LIBELLE_AXE_ANALYTIQUE_PROFONDEUR_2;CODE_AXE_ANALYTIQUE_PROFONDEUR_3;LIBELLE_AXE_ANALYTIQUE_PROFONDEUR_3;CODE_AXE_ANALYTIQUE_PROFONDEUR_4;LIBELLE_AXE_ANALYTIQUE_PROFONDEUR_4;CODE_AXE_ANALYTIQUE_PROFONDEUR_5;LIBELLE_AXE_ANALYTIQUE_PROFONDEUR_5
2021;M14;DRF/68/6817;CA;5206.28;01;01;NA;Non affecté;;;;;;;;
2021;M14;DRF/011/60631;CA;16.68;321;321;ST;SERVICE TECHNIQUE;;;;;;;;
2021;M14;DRF/011/61551;CA;18059.06;810;810;ST;SERVICE TECHNIQUE;;;;;;;;
2021;M14;DRF/012/6336;CA;1071.92;023;023;RH;RESSOURCES HUMAINES;;;;;;;;
2021;M14;DRF/011/6232;CA;442.62;024;024;CULT;CULTURE;JOURNEES PATRIM;JOURNEES DU PATRIMOINE;;;;;;
2021;M14;DRI/21/2184;CA;3050.06;321;321;CULT;CULTURE;MEDIATH;MEDIATHEQUE;;;;;;
2021;M14;ROI/040/28183;CA;2018.39;114;114;NA;Non affecté;;;;;;;;
